name,address,price,rating,distance,scraped_at,price_category,rating_category
Urban Chic - Clink Street,"Southwark, London",785,7.87,,2025-08-01T23:26:36.799710,Luxury,Good
"The Henry Hotel Bayswater, Sonder by Marriott Bonvoy","Westminster Borough, London",499,8.18,,2025-08-01T23:26:36.802006,Luxury,Very Good
Apex City Of London Hotel,"City of London, London",502,9.09,,2025-08-01T23:26:36.804243,Luxury,Excellent
"The Gilbert Hotel Kensington, Sonder by Marriott Bonvoy","Kensington and Chelsea, London",515,7.77,,2025-08-01T23:26:36.806887,Luxury,Good
citizenM Southwark Bankside,"Southwark, London",420,8.78,,2025-08-01T23:26:36.808417,Luxury,Very Good
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London",338,6.96,,2025-08-01T23:26:36.810970,Luxury,Average
NOX Waterloo,"Lambeth, London",328,8.78,,2025-08-01T23:26:36.815204,Luxury,Very Good
The Dilly,"Westminster Borough, London",788,8.38,,2025-08-01T23:26:36.817421,Luxury,Very Good
Leonardo Royal London St Paul’s,"City of London, London",641,8.78,,2025-08-01T23:26:36.820795,Luxury,Very Good
NYX Hotel London Holborn by Leonardo Hotels,"Camden, London",681,8.58,,2025-08-01T23:26:36.822795,Luxury,Very Good
"The Rathbone Hotel, Fitzrovia","Westminster Borough, London",565,8.58,,2025-08-01T23:26:36.824122,Luxury,Very Good
Apex Temple Court Hotel,"City of London, London",626,9.19,,2025-08-01T23:26:36.826136,Luxury,Excellent
Bob W Hyde Park,"Westminster Borough, London",427,8.38,,2025-08-01T23:26:36.827642,Luxury,Very Good
"Inhabit Queen's Gardens, a Member of Design Hotels","Westminster Borough, London",560,8.48,,2025-08-01T23:26:36.831816,Luxury,Very Good
"Radisson Blu Hotel, London South Kensington","Kensington and Chelsea, London",564,7.17,,2025-08-01T23:26:36.835065,Luxury,Good
Prince William Hotel,"Westminster Borough, London",354,7.47,,2025-08-01T23:26:36.840523,Luxury,Good
Chapter Westminster London,"Lambeth, London",311,8.58,,2025-08-01T23:26:36.842894,Luxury,Very Good
"The Westminster London, Curio Collection by Hilton","Westminster Borough, London",596,8.58,,2025-08-01T23:26:36.844399,Luxury,Very Good
"Club Quarters Hotel London City, London","City of London, London",458,8.48,,2025-08-01T23:26:36.848428,Luxury,Very Good
DoubleTree by Hilton London Victoria,"Westminster Borough, London",522,8.08,,2025-08-01T23:26:36.850578,Luxury,Very Good
citizenM London Shoreditch,"Hackney, London",437,8.78,,2025-08-01T23:26:36.853701,Luxury,Very Good
The Londoner,"Westminster Borough, London",1,9.19,,2025-08-01T23:26:36.857048,Budget,Excellent
Berkley Apartments,"Hackney, London",282,7.87,,2025-08-01T23:26:36.861002,Mid-range,Good
"Radisson Blu Hotel, London Bloomsbury","Camden, London",784,7.67,,2025-08-01T23:26:36.863785,Luxury,Good
Lancaster Gate Hotel,"Westminster Borough, London",390,7.57,,2025-08-01T23:26:36.866488,Luxury,Good
The Cavendish London,"Westminster Borough, London",772,8.38,,2025-08-01T23:26:36.868519,Luxury,Very Good
Sun Street Hotel Shoreditch,"Hackney, London",691,8.98,,2025-08-01T23:26:36.870817,Luxury,Very Good
Canopy by Hilton London City,"City of London, London",612,8.78,,2025-08-01T23:26:36.872815,Luxury,Very Good
ibis London Blackfriars,"Southwark, London",416,8.18,,2025-08-01T23:26:36.874863,Luxury,Very Good
"Club Quarters Hotel St Paul's, London","City of London, London",482,8.58,,2025-08-01T23:26:36.879625,Luxury,Very Good
Leonardo Royal Hotel London City - Tower of London,"City of London, London",561,8.78,,2025-08-01T23:26:36.882658,Luxury,Very Good
The Rookery,"Islington, London",703,9.29,,2025-08-01T23:26:36.884625,Luxury,Excellent
"Club Quarters Hotel Covent Garden Holborn, London","Camden, London",597,8.48,,2025-08-01T23:26:36.886911,Luxury,Very Good
La Suite West - Hyde Park,"Westminster Borough, London",477,8.08,,2025-08-01T23:26:36.888906,Luxury,Very Good
Blandford Hotel,"Westminster Borough, London",467,7.77,,2025-08-01T23:26:36.891256,Luxury,Good
Motel One London-Tower Hill,"City of London, London",446,8.68,,2025-08-01T23:26:36.893409,Luxury,Very Good
Chapter Spitalfields in London,"Tower Hamlets, London",314,7.87,,2025-08-01T23:26:36.896912,Luxury,Good
Hotel AMANO Covent Garden,"Westminster Borough, London",708,8.48,,2025-08-01T23:26:36.899061,Luxury,Very Good
Signature Townhouse London Hyde Park,"Westminster Borough, London",478,6.56,,2025-08-01T23:26:36.903470,Luxury,Average
The LaLit London,"Southwark, London",697,8.98,,2025-08-01T23:26:36.905412,Luxury,Very Good
Hilton London Paddington,"Westminster Borough, London",538,7.97,,2025-08-01T23:26:36.907915,Luxury,Good
St Giles London – A St Giles Hotel,"Camden, London",399,7.47,,2025-08-01T23:26:36.909421,Luxury,Good
Locke at Broken Wharf,"City of London, London",487,8.98,,2025-08-01T23:26:36.911945,Luxury,Very Good
Brit Hotels Earls Court,"Kensington and Chelsea, London",368,8.48,,2025-08-01T23:26:36.914421,Luxury,Very Good
Mornington Victor Hotel London Belgravia,"Westminster Borough, London",381,8.08,,2025-08-01T23:26:36.917723,Luxury,Very Good
The Cleveland,"Westminster Borough, London",484,8.38,,2025-08-01T23:26:36.918777,Luxury,Very Good
DoubleTree by Hilton London - Hyde Park,"Kensington and Chelsea, London",526,7.67,,2025-08-01T23:26:36.920799,Luxury,Good
The Grand at Trafalgar Square,"Westminster Borough, London",655,8.48,,2025-08-01T23:26:36.923837,Luxury,Very Good
The Marylebone Hotel,"Westminster Borough, London",920,8.58,,2025-08-01T23:26:36.928946,Luxury,Very Good
"Montcalm Royal London House, London City","Islington, London",669,8.48,,2025-08-01T23:26:36.931250,Luxury,Very Good
"Mornington Hotel London Kensington, BW Premier Collection","Kensington and Chelsea, London",430,8.18,,2025-08-01T23:26:36.933813,Luxury,Very Good
Hampton by Hilton London Waterloo,"Lambeth, London",513,8.28,,2025-08-01T23:26:36.935810,Luxury,Very Good
DoubleTree by Hilton Hotel London - Tower of London,"City of London, London",551,8.18,,2025-08-01T23:26:36.937809,Luxury,Very Good
Batty Langley's,"Tower Hamlets, London",728,9.59,,2025-08-01T23:26:36.940127,Luxury,Excellent
"The Clermont London, Victoria","Westminster Borough, London",640,8.58,,2025-08-01T23:26:36.942072,Luxury,Very Good
"Radisson Blu Hotel, London Euston Square","Camden, London",548,7.97,,2025-08-01T23:26:36.944652,Luxury,Good
President Hotel,"Camden, London",424,8.08,,2025-08-01T23:26:36.948367,Luxury,Very Good
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London",1,8.38,,2025-08-01T23:26:36.952354,Budget,Very Good
Holiday Inn London Kensington High St. by IHG,"Kensington and Chelsea, London",519,7.67,,2025-08-01T23:26:36.957418,Luxury,Good
Kimpton Fitzroy London by IHG,"Camden, London",821,8.88,,2025-08-01T23:26:36.959400,Luxury,Very Good
Best Western Buckingham Palace Rd,"Westminster Borough, London",447,7.87,,2025-08-01T23:26:36.960940,Luxury,Good
citizenM London Victoria Station,"Westminster Borough, London",581,8.88,,2025-08-01T23:26:36.967224,Luxury,Very Good
The Jade,"Kensington and Chelsea, London",311,7.77,,2025-08-01T23:26:36.970231,Luxury,Good
The Z Hotel City,"City of London, London",371,7.97,,2025-08-01T23:26:36.972304,Luxury,Good
"Bermonds Locke, Tower Bridge","Southwark, London",498,8.78,,2025-08-01T23:26:36.975382,Luxury,Very Good
Clayton Hotel London Wall,"City of London, London",607,8.98,,2025-08-01T23:26:36.977622,Luxury,Very Good
Hilton London Hyde Park,"Kensington and Chelsea, London",638,7.17,,2025-08-01T23:26:36.981540,Luxury,Good
Hilton London Metropole,"Westminster Borough, London",630,7.97,,2025-08-01T23:26:36.987489,Luxury,Good
The House on Warwick,"Westminster Borough, London",410,7.57,,2025-08-01T23:26:36.989626,Luxury,Good
Novotel London Tower Bridge,"City of London, London",599,8.78,,2025-08-01T23:26:36.992642,Luxury,Very Good
Holiday Inn London - Regent's Park by IHG,"Westminster Borough, London",508,8.28,,2025-08-01T23:26:36.995612,Luxury,Very Good
The BoTree - Preferred Hotels and Resorts,"Westminster Borough, London",1,9.19,,2025-08-01T23:26:37.002124,Budget,Excellent
The Mandeville Hotel,"Westminster Borough, London",720,8.38,,2025-08-01T23:26:37.004231,Luxury,Very Good
Nottingham Place Hotel,"Westminster Borough, London",649,8.28,,2025-08-01T23:26:37.006297,Luxury,Very Good
The Guardsman - Preferred Hotels and Resorts,"Westminster Borough, London",883,8.98,,2025-08-01T23:26:37.009326,Luxury,Very Good
Maldron Hotel Shoreditch London,"Hackney, London",546,8.68,,2025-08-01T23:26:37.013041,Luxury,Very Good
"Club Quarters Hotel Trafalgar Square, London","Westminster Borough, London",594,8.58,,2025-08-01T23:26:37.016214,Luxury,Very Good
Mercure London Bridge,"Southwark, London",477,8.18,,2025-08-01T23:26:37.018214,Luxury,Very Good
Zedwell Knightsbridge Hotel,"Westminster Borough, London",411,7.57,,2025-08-01T23:26:37.020215,Luxury,Good
ibis Styles London Southwark - near Borough Market,"Southwark, London",509,8.68,,2025-08-01T23:26:37.023228,Luxury,Very Good
Tower Suites by Blue Orchid,"City of London, London",534,8.78,,2025-08-01T23:26:37.026220,Luxury,Very Good
Princes Square,"Westminster Borough, London",510,8.38,,2025-08-01T23:26:37.030982,Luxury,Very Good
Jubilee Hotel Victoria,"Westminster Borough, London",477,8.28,,2025-08-01T23:26:37.036421,Luxury,Very Good
Hampton By Hilton London Old Street,"Hackney, London",438,8.38,,2025-08-01T23:26:37.039190,Luxury,Very Good
Ten Manchester Street Hotel,"Westminster Borough, London",629,8.28,,2025-08-01T23:26:37.041539,Luxury,Very Good
"The Clermont London, Charing Cross","Westminster Borough, London",701,8.88,,2025-08-01T23:26:37.044423,Luxury,Very Good
Chelsea Cloisters Serviced Apartments,"Kensington and Chelsea, London",405,8.08,,2025-08-01T23:26:37.051189,Luxury,Very Good
City Sleeper at Royal National Hotel,"Camden, London",460,8.38,,2025-08-01T23:26:37.054702,Luxury,Very Good
Strand Palace,"Westminster Borough, London",664,8.48,,2025-08-01T23:26:37.059527,Luxury,Very Good
YOTEL London City,"Islington, London",414,8.28,,2025-08-01T23:26:37.066469,Luxury,Very Good
"Montcalm East, Autograph Collection","Hackney, London",727,9.09,,2025-08-01T23:26:37.073370,Luxury,Excellent
DoubleTree by Hilton London – West End,"Camden, London",550,7.97,,2025-08-01T23:26:37.076554,Luxury,Good
Hilton London Euston,"Camden, London",495,7.57,,2025-08-01T23:26:37.080092,Luxury,Good
Miiro Templeton Garden,"Kensington and Chelsea, London",604,8.88,,2025-08-01T23:26:37.085271,Luxury,Very Good
Keystone House,"Islington, London",393,7.87,,2025-08-01T23:26:37.087267,Luxury,Good
Hotel Indigo London Tower Hill by IHG,"City of London, London",447,8.78,,2025-08-01T23:26:37.088501,Luxury,Very Good
Holiday Inn Express London Victoria by IHG,"Westminster Borough, London",466,7.77,,2025-08-01T23:26:37.091110,Luxury,Good
The Tudor Inn Hotel,"Westminster Borough, London",316,6.76,,2025-08-01T23:26:37.093238,Luxury,Average
London Lodge Hotel,"Kensington and Chelsea, London",397,8.58,,2025-08-01T23:26:37.096650,Luxury,Very Good
"Radisson Blu Hotel, London Tottenham Court Road","Camden, London",573,7.37,,2025-08-01T23:26:37.103375,Luxury,Good
Best Western Mornington Hotel Hyde Park,"Westminster Borough, London",440,7.47,,2025-08-01T23:26:37.105595,Luxury,Good
Hyde Park Studios,"Westminster Borough, London",418,7.17,,2025-08-01T23:26:37.107793,Luxury,Good
Sidney Hotel London-Victoria,"Westminster Borough, London",376,8.18,,2025-08-01T23:26:37.111220,Luxury,Very Good
"Hart Shoreditch Hotel London, Curio Collection by Hilton","Hackney, London",563,9.09,,2025-08-01T23:26:37.116435,Luxury,Excellent
St Mark's - Merit Hotels,"Kensington and Chelsea, London",507,8.78,,2025-08-01T23:26:37.120111,Luxury,Very Good
Tavistock Hotel,"Camden, London",452,8.18,,2025-08-01T23:26:37.122228,Luxury,Very Good
Citadines Trafalgar Square London,"Westminster Borough, London",636,8.28,,2025-08-01T23:26:37.124329,Luxury,Very Good
The Westin London City,"City of London, London",946,8.68,,2025-08-01T23:26:37.126426,Luxury,Very Good
Thistle London Holborn,"Camden, London",499,8.18,,2025-08-01T23:26:37.128809,Luxury,Very Good
The Judd Hotel,"Camden, London",448,7.37,,2025-08-01T23:26:37.135120,Luxury,Good
Roland House,"Kensington and Chelsea, London",414,7.77,,2025-08-01T23:26:37.137861,Luxury,Good
Zedwell Underground Hotel Tottenham Court Rd,"Camden, London",341,7.47,,2025-08-01T23:26:37.140270,Luxury,Good
St Martins Lane London,"Westminster Borough, London",1,8.68,,2025-08-01T23:26:37.142578,Budget,Very Good
"art'otel London Hoxton, powered by Radisson Hotels","Hackney, London",690,9.29,,2025-08-01T23:26:37.144677,Luxury,Excellent
The Chesterfield Mayfair,"Westminster Borough, London",869,8.98,,2025-08-01T23:26:37.147946,Luxury,Very Good
Bedford Hotel,"Camden, London",548,8.28,,2025-08-01T23:26:37.153221,Luxury,Very Good
King's Cross Express Inn,"Islington, London",365,7.07,,2025-08-01T23:26:37.155492,Luxury,Good
The Chamberlain,"City of London, London",583,8.68,,2025-08-01T23:26:37.157599,Luxury,Very Good
Studios2Let,"Camden, London",400,7.97,,2025-08-01T23:26:37.159700,Luxury,Good
Hilton London Bankside,"Southwark, London",696,8.68,,2025-08-01T23:26:37.161253,Luxury,Very Good
Mimi's Hotel Soho,"Westminster Borough, London",552,7.97,,2025-08-01T23:26:37.167397,Luxury,Good
5 Bedroom Flat in Paddington,"Westminster Borough, London",333,7.87,,2025-08-01T23:26:37.170000,Luxury,Good
The Paddington Apartments,"Westminster Borough, London",463,8.28,,2025-08-01T23:26:37.172365,Luxury,Very Good
Monument Serviced Apartments by LovelyStay,"City of London, London",540,9.19,,2025-08-01T23:26:37.174443,Luxury,Excellent
Parkwood Hotel,"Westminster Borough, London",371,7.27,,2025-08-01T23:26:37.175996,Luxury,Good
Hausd Flex - Covent Garden,"Westminster Borough, London",510,8.38,,2025-08-01T23:26:37.178081,Luxury,Very Good
Citadines Holborn-Covent Garden London,"Camden, London",659,8.58,,2025-08-01T23:26:37.184741,Luxury,Very Good
Crane Court by City2Stay,"City of London, London",575,8.58,,2025-08-01T23:26:37.187406,Luxury,Very Good
The Abbey Notting Hill,"Kensington and Chelsea, London",408,7.47,,2025-08-01T23:26:37.189000,Luxury,Good
The Waldorf Hilton,"Westminster Borough, London",774,8.38,,2025-08-01T23:26:37.192174,Luxury,Very Good
The Melita,"Westminster Borough, London",522,8.68,,2025-08-01T23:26:37.194265,Luxury,Very Good
"The Hoxton, Holborn","Camden, London",608,8.38,,2025-08-01T23:26:37.199811,Luxury,Very Good
Chapter South Bank in London,"Southwark, London",358,7.67,,2025-08-01T23:26:37.201816,Luxury,Good
Four Points Flex by Sheraton London Euston,"Camden, London",414,7.57,,2025-08-01T23:26:37.203800,Luxury,Good
Hyatt Regency London Albert Embankment,"Lambeth, London",688,8.58,,2025-08-01T23:26:37.205801,Luxury,Very Good
Hotel Saint London,"City of London, London",537,8.78,,2025-08-01T23:26:37.207810,Luxury,Very Good
The Spice of Life,"Westminster Borough, London",849,9.39,,2025-08-01T23:26:37.209813,Luxury,Excellent
Rubens At The Palace,"Westminster Borough, London",983,8.88,,2025-08-01T23:26:37.212332,Luxury,Very Good
voco London Marylebone by IHG,"Westminster Borough, London",513,8.08,,2025-08-01T23:26:37.218627,Luxury,Very Good
The Welbeck Hotel by IHG,"Westminster Borough, London",712,8.88,,2025-08-01T23:26:37.219928,Luxury,Very Good
Egerton House,"Kensington and Chelsea, London",1,9.49,,2025-08-01T23:26:37.221927,Budget,Excellent
Chapter Old Street in London,"Hackney, London",342,7.57,,2025-08-01T23:26:37.223926,Luxury,Good
"100 Queen's Gate Hotel London Kensington, Curio Collection by Hilton","Kensington and Chelsea, London",651,8.28,,2025-08-01T23:26:37.225929,Luxury,Very Good
The Beaufort,"Kensington and Chelsea, London",834,7.77,,2025-08-01T23:26:37.230902,Luxury,Good
Royal National Hotel,"Camden, London",375,7.87,,2025-08-01T23:26:37.233900,Luxury,Good
